term,average_tf,idf,tf_idf,frequency,document_frequency
abdihafid,0.00015169902912621358,4.634728988229636,0.0007030838877775539,1,1
abdishakur,0.00015169902912621358,4.634728988229636,0.0007030838877775539,1,1
abuse,0.0004625502902984895,3.9415818076696905,0.0018231798093728603,2,2
academic,0.0005711022272986865,4.634728988229636,0.0026469040481037326,1,1
access,0.00030332514355445734,3.9415818076696905,0.0011955808676430463,2,2
accident,0.0016181229773462782,4.634728988229636,0.007499561469627242,1,1
accord,0.0007955320323408124,3.9415818076696905,0.003135654586093042,2,2
account,0.00017979144192736425,4.634728988229636,0.0008332846077363603,1,1
action,0.00088261253309797,4.634728988229636,0.0040906698925239505,1,1
activism,0.00014490653528474135,4.634728988229636,0.0006716025196681113,1,1
advocate,0.0007416396979503776,3.9415818076696905,0.0029232335412868525,2,2
aerial,0.0017114762260393326,3.9415818076696905,0.006745923556815812,3,2
afflict,0.00017979144192736425,4.634728988229636,0.0008332846077363603,1,1
africa,0.00020226537216828477,4.634728988229636,0.0009374451837034052,1,1
african,0.0002157497303128371,4.634728988229636,0.0009999415292836324,1,1
afternoon,0.00017337031900138694,4.634728988229636,0.0008035244431743473,1,1
agency,0.00016181229773462783,4.634728988229636,0.0007499561469627243,1,1
ago,0.00029420417769932336,4.634728988229636,0.001363556630841317,2,1
aid,0.001779935275080906,3.9415818076696905,0.007015760499088445,2,2
air,0.0004045307443365696,3.9415818076696905,0.0015944910225201014,2,2
aircraft,0.0019313080697358806,3.9415818076696905,0.007612408752676613,2,2
airline,0.0003595828838547285,4.634728988229636,0.0016665692154727205,2,1
airliner,0.0006472491909385113,4.634728988229636,0.002999824587850897,1,1
airport,0.0013664149586479681,3.9415818076696905,0.005385836342734564,5,2
alarming,0.00014490653528474135,4.634728988229636,0.0006716025196681113,1,1
ali,0.00036636746656896867,4.634728988229636,0.001698013917651451,2,1
allege,0.0005711022272986865,4.634728988229636,0.0026469040481037326,1,1
alleged,0.0002987303958177745,4.634728988229636,0.0013845344251619525,2,1
allegedly,0.00015169902912621358,4.634728988229636,0.0007030838877775539,1,1
ally,0.0002157497303128371,4.634728988229636,0.0009999415292836324,1,1
altman,0.0007468259895444362,4.634728988229636,0.0034613360629048816,1,1
american,0.0005109862033725089,4.634728988229636,0.002368282569355971,1,1
amid,0.00014936519790888724,4.634728988229636,0.0006922672125809763,1,1
ammunition,0.00012608750472828143,4.634728988229636,0.0005843814132177073,1,1
andrea,0.00026968716289104636,4.634728988229636,0.0012499269116045403,2,1
andris,0.00031318509238960227,4.634728988229636,0.0014515280263794664,1,1
angeles,0.00017979144192736425,4.634728988229636,0.0008332846077363603,1,1
anger,0.0006067961165048543,4.634728988229636,0.0028123355511102156,1,1
animal,0.00031318509238960227,4.634728988229636,0.0014515280263794664,1,1
announce,0.0012810140237324704,3.9415818076696905,0.005049221571313655,2,2
anstee,0.00020226537216828477,4.634728988229636,0.0009374451837034052,1,1
answer,0.0019417475728155341,4.634728988229636,0.008999473763552692,1,1
anti,0.00031318509238960227,4.634728988229636,0.0014515280263794664,1,1
antisemitic,0.0002987303958177745,4.634728988229636,0.0013845344251619525,2,1
anton,0.0012135922330097086,4.634728988229636,0.005624671102220431,1,1
app,0.0002842087793544104,3.9415818076696905,0.0011202321542833533,2,2
appalling,0.0005109862033725089,4.634728988229636,0.002368282569355971,1,1
appointment,0.0006472491909385113,4.634728988229636,0.002999824587850897,1,1
april,0.00020226537216828477,4.634728988229636,0.0009374451837034052,1,1
area,0.00014710208884966168,4.634728988229636,0.0006817783154206585,1,1
argentina,0.00029420417769932336,4.634728988229636,0.001363556630841317,2,1
argue,0.00012608750472828143,4.634728988229636,0.0005843814132177073,1,1
armed,0.0033489249636413664,3.248434627109745,0.010878763815484858,4,4
armenia,0.0013869625520110955,4.634728988229636,0.006428195545394778,1,1
armistice,0.0009708737864077671,4.634728988229636,0.004499736881776346,1,1
army,0.0005933117583603021,3.9415818076696905,0.002338586833029482,3,2
arrest,0.0017736927814190255,3.0252910757955354,0.005365936942829939,6,5
arrive,0.0008090614886731391,4.634728988229636,0.003749780734813621,2,1
arrowe,0.0003595828838547285,4.634728988229636,0.0016665692154727205,2,1
artery,0.0010787486515641855,4.634728988229636,0.004999707646418161,1,1
ash,0.0004045307443365696,3.9415818076696905,0.0015944910225201014,2,2
assassinate,0.00012608750472828143,4.634728988229636,0.0005843814132177073,1,1
assassination,0.00012608750472828143,4.634728988229636,0.0005843814132177073,1,1
assault,0.0015386615811373093,3.9415818076696905,0.006064760496371099,2,2
assemble,0.00012608750472828143,4.634728988229636,0.0005843814132177073,1,1
assist,0.00013299640909695436,4.634728988229636,0.000616402312572102,1,1
atlantic,0.00016181229773462783,4.634728988229636,0.0007499561469627243,1,1
attack,0.041170765438101393,1.2335316065674804,0.05078544043447411,34,30
attend,0.00014710208884966168,4.634728988229636,0.0006817783154206585,1,1
attract,0.0005711022272986865,4.634728988229636,0.0026469040481037326,1,1
australia,0.0012135922330097086,3.9415818076696905,0.004783473067560304,2,2
australians,0.0006067961165048543,4.634728988229636,0.0028123355511102156,1,1
authority,0.0006115889690001939,3.248434627109745,0.0019867067844585784,4,4
baba,0.0009708737864077671,4.634728988229636,0.004499736881776346,1,1
baby,0.0006067961165048543,4.634728988229636,0.0028123355511102156,1,1
bailey,0.00013299640909695436,4.634728988229636,0.000616402312572102,1,1
baltic,0.0045938558779147565,3.0252910757955354,0.013897751190946377,5,5
bank,0.0015329586101175267,3.9415818076696905,0.006042281769549857,5,2
barre,0.00015169902912621358,4.634728988229636,0.0007030838877775539,1,1
baton,0.00018318373328448433,4.634728988229636,0.0008490069588257255,1,1
bbc,0.001526777325399311,3.5361166995615263,0.005398862796856386,3,3
bear,0.0006263701847792045,4.634728988229636,0.002903056052758933,2,1
beat,0.0010431785195936139,3.5361166995615263,0.003688800983758849,5,3
beating,0.0002898130705694827,4.634728988229636,0.0013432050393362225,2,1
begin,0.0003701588510269264,3.9415818076696905,0.001459011393155648,2,2
belazs,0.0007468259895444362,4.634728988229636,0.0034613360629048816,1,1
bethlehem,0.0005711022272986865,4.634728988229636,0.0026469040481037326,1,1
bill,0.00013299640909695436,4.634728988229636,0.000616402312572102,1,1
birthday,0.00014710208884966168,4.634728988229636,0.0006817783154206585,1,1
biu,0.00013299640909695436,4.634728988229636,0.000616402312572102,1,1
blast,0.0005711022272986865,4.634728988229636,0.0026469040481037326,1,1
blister,0.00013484358144552318,4.634728988229636,0.0006249634558022701,1,1
board,0.000382056814095649,3.9415818076696905,0.001505908187935651,2,2
boat,0.0007468259895444362,4.634728988229636,0.0034613360629048816,1,1
body,0.0014279225572020667,3.5361166995615263,0.005049300800202827,6,3
bombard,0.0016181229773462782,4.634728988229636,0.007499561469627242,1,1
book,0.00088261253309797,4.634728988229636,0.0040906698925239505,1,1
border,0.0023578363384188627,3.9415818076696905,0.009293604816974305,2,2
bounty,0.00013299640909695436,4.634728988229636,0.000616402312572102,1,1
boy,0.0016181229773462784,3.9415818076696905,0.006377964090080406,2,2
breach,0.0005711022272986865,4.634728988229636,0.0026469040481037326,1,1
break,0.002884763564375215,3.248434627109745,0.00937096585354098,4,4
brigade,0.0012135922330097086,4.634728988229636,0.005624671102220431,1,1
bring,0.00017032873445750298,4.634728988229636,0.0007894275231186571,1,1
britain,0.00032362459546925567,4.634728988229636,0.0014999122939254486,2,1
british,0.0014111020418570703,2.842969519001581,0.004011720093200544,8,6
briton,0.000774689595363496,3.5361166995615263,0.00273939281514142,4,3
buddhist,0.001142204454597373,4.634728988229636,0.005293808096207465,2,1
budimaya,0.00013484358144552318,4.634728988229636,0.0006249634558022701,1,1
build,0.0019417475728155341,4.634728988229636,0.008999473763552692,1,1
building,0.0030453904240312006,3.248434627109745,0.009892751706491381,5,4
bulbul,0.00030339805825242716,4.634728988229636,0.0014061677755551078,2,1
bureaucracy,0.00017032873445750298,4.634728988229636,0.0007894275231186571,1,1
burial,0.0006067961165048543,4.634728988229636,0.0028123355511102156,1,1
bury,0.0005109862033725089,4.634728988229636,0.002368282569355971,1,1
buy,0.00017337031900138694,4.634728988229636,0.0008035244431743473,1,1
cabinet,0.0006472491909385113,4.634728988229636,0.002999824587850897,1,1
call,0.002830250845670606,3.248434627109745,0.009193884850483036,5,4
canada,0.00020226537216828477,4.634728988229636,0.0009374451837034052,1,1
canadian,0.00020226537216828477,4.634728988229636,0.0009374451837034052,1,1
canary,0.00017979144192736425,4.634728988229636,0.0008332846077363603,1,1
canvas,0.0005711022272986865,4.634728988229636,0.0026469040481037326,1,1
cap,0.0002157497303128371,4.634728988229636,0.0009999415292836324,1,1
capital,0.00015169902912621358,4.634728988229636,0.0007030838877775539,1,1
captivity,0.0009708737864077671,4.634728988229636,0.004499736881776346,1,1
capture,0.0017884517118037812,3.9415818076696905,0.0070493287311415,2,2
car,0.0032362459546925564,3.5361166995615263,0.011443743364276783,3,3
care,0.0007517026517895957,3.9415818076696905,0.0029628974970709347,4,2
cargo,0.0010219724067450178,4.634728988229636,0.004736565138711942,2,1
caribbean,0.00012608750472828143,4.634728988229636,0.0005843814132177073,1,1
carpathian,0.00033478406427854036,4.634728988229636,0.0015516334075090848,1,1
carry,0.0017361006743014016,3.248434627109745,0.005639609546549251,4,4
case,0.001565959802418668,3.248434627109745,0.005086918046838736,7,4
casualty,0.002831715210355987,3.9415818076696905,0.011161437157640708,2,2
cat,0.0006472491909385113,4.634728988229636,0.002999824587850897,1,1
catch,0.00016181229773462783,4.634728988229636,0.0007499561469627243,1,1
cause,0.0030133594901096176,3.248434627109745,0.009788701311601847,5,4
cave,0.0005711022272986865,4.634728988229636,0.0026469040481037326,1,1
cctv,0.00018318373328448433,4.634728988229636,0.0008490069588257255,1,1
ceasefire,0.0029126213592233015,3.9415818076696905,0.011480335362144732,2,2
cell,0.00018318373328448433,4.634728988229636,0.0008490069588257255,1,1
centre,0.00034206643822577574,3.9415818076696905,0.0013482828499250857,2,2
charge,0.0015547559236879626,3.5361166995615263,0.00549779838549521,4,3
charter,0.00019036740909956216,4.634728988229636,0.0008823013493679108,1,1
chernihiv,0.00033478406427854036,4.634728988229636,0.0015516334075090848,1,1
chernobyl,0.0010219724067450178,4.634728988229636,0.004736565138711942,2,1
chi,0.00013299640909695436,4.634728988229636,0.000616402312572102,1,1
chief,0.0005711022272986865,4.634728988229636,0.0026469040481037326,1,1
child,0.0022924890643337245,3.248434627109745,0.007447000858852091,6,4
china,0.00031278785102431864,3.9415818076696905,0.0012328789032575516,2,2
chinese,0.0002659928181939087,4.634728988229636,0.001232804625144204,2,1
chung,0.00013299640909695436,4.634728988229636,0.000616402312572102,1,1
citizen,0.0006758043023034456,3.9415818076696905,0.002663737943504169,2,2
city,0.0012135922330097086,3.9415818076696905,0.004783473067560304,2,2
civilian,0.0014521616463364037,3.9415818076696905,0.005723813926995235,2,2
cleaver,0.0006067961165048543,4.634728988229636,0.0028123355511102156,1,1
cliff,0.0002157497303128371,4.634728988229636,0.0009999415292836324,1,1
cloud,0.00024271844660194176,4.634728988229636,0.0011249342204440866,1,1
club,0.00014936519790888724,4.634728988229636,0.0006922672125809763,1,1
coast,0.001237722137057855,3.9415818076696905,0.004878583058377292,3,2
colleague,0.00015169902912621358,4.634728988229636,0.0007030838877775539,1,1
colombian,0.00012608750472828143,4.634728988229636,0.0005843814132177073,1,1
columbia,0.00020226537216828477,4.634728988229636,0.0009374451837034052,1,1
column,0.00016181229773462783,4.634728988229636,0.0007499561469627243,1,1
come,0.0009420578977700935,3.5361166995615263,0.0033312266642586525,3,3
commander,0.00016181229773462783,4.634728988229636,0.0007499561469627243,1,1
comment,0.0004480955937266617,4.634728988229636,0.002076801637742929,3,1
community,0.001967490438364225,3.5361166995615263,0.006957275795327364,3,3
comrade,0.0009708737864077671,4.634728988229636,0.004499736881776346,1,1
con,0.00031318509238960227,4.634728988229636,0.0014515280263794664,1,1
concern,0.00013299640909695436,4.634728988229636,0.000616402312572102,1,1
condemn,0.0005109862033725089,4.634728988229636,0.002368282569355971,1,1
condition,0.00014490653528474135,4.634728988229636,0.0006716025196681113,1,1
conduct,0.0005711022272986865,4.634728988229636,0.0026469040481037326,1,1
confinement,0.0002898130705694827,4.634728988229636,0.0013432050393362225,2,1
confirm,0.0002948087068315822,3.9415818076696905,0.0011620126355899917,2,2
consequence,0.0033980582524271844,3.9415818076696905,0.013393724589168852,2,2
conspiracy,0.00012608750472828143,4.634728988229636,0.0005843814132177073,1,1
constant,0.00014490653528474135,4.634728988229636,0.0006716025196681113,1,1
contact,0.00014710208884966168,4.634728988229636,0.0006817783154206585,1,1
contest,0.0005711022272986865,4.634728988229636,0.0026469040481037326,1,1
continue,0.001680381066492814,3.5361166995615263,0.005942023550852247,5,3
control,0.0017846944603083954,3.9415818076696905,0.0070345192170004475,2,2
convict,0.0006846292422831857,3.5361166995615263,0.002420928896645727,5,3
conviction,0.0002659928181939087,4.634728988229636,0.001232804625144204,2,1
cooperate,0.0003734129947722181,4.634728988229636,0.0017306680314524408,1,1
costly,0.0007468259895444362,4.634728988229636,0.0034613360629048816,1,1
cottage,0.00017337031900138694,4.634728988229636,0.0008035244431743473,1,1
council,0.0010787486515641855,4.634728988229636,0.004999707646418161,1,1
counter,0.00015169902912621358,4.634728988229636,0.0007030838877775539,1,1
country,0.003282916674342772,3.0252910757955354,0.009931778517469547,7,5
county,0.00017337031900138694,4.634728988229636,0.0008035244431743473,1,1
course,0.00016181229773462783,4.634728988229636,0.0007499561469627243,1,1
court,0.0014102402451917015,3.5361166995615263,0.004986774081416117,5,3
cover,0.0007999944202655953,3.5361166995615263,0.0028288736290572134,4,3
covid,0.00017979144192736425,4.634728988229636,0.0008332846077363603,1,1
crew,0.0005605262601264886,3.9415818076696905,0.002209360109635696,3,2
crime,0.0013731961743236407,3.9415818076696905,0.0054125650590756795,4,2
criminal,0.00013299640909695436,4.634728988229636,0.000616402312572102,1,1
critical,0.00014490653528474135,4.634728988229636,0.0006716025196681113,1,1
cruise,0.0025786851957611523,2.842969519001581,0.0073311234106495805,10,6
cultural,0.0006067961165048543,4.634728988229636,0.0028123355511102156,1,1
cunha,0.00032362459546925567,4.634728988229636,0.0014999122939254486,2,1
cyber,0.0005711022272986865,4.634728988229636,0.0026469040481037326,1,1
daily,0.0002842087793544104,3.9415818076696905,0.0011202321542833533,2,2
damage,0.0052663086643669164,3.0252910757955354,0.015932116604693937,5,5
danger,0.0006067961165048543,4.634728988229636,0.0028123355511102156,1,1
daughter,0.00017337031900138694,4.634728988229636,0.0008035244431743473,1,1
david,0.00020226537216828477,4.634728988229636,0.0009374451837034052,1,1
day,0.009383640248057629,2.33214389523559,0.021883999319594574,11,10
dead,0.0013077431000272084,3.0252910757955354,0.003956303529945502,5,5
deadly,0.0005948981534361317,3.9415818076696905,0.002344839739000149,3,2
deal,0.00016181229773462783,4.634728988229636,0.0007499561469627243,1,1
death,0.005072441326912456,2.5552874465497997,0.012961545646019807,9,8
debate,0.0007397925256018088,3.9415818076696905,0.0029159527603621034,2,2
decade,0.00029200862413440303,3.9415818076696905,0.0011509758805708194,2,2
deceased,0.00017032873445750298,4.634728988229636,0.0007894275231186571,1,1
decision,0.00020226537216828477,4.634728988229636,0.0009374451837034052,1,1
declaration,0.0010787486515641855,4.634728988229636,0.004999707646418161,1,1
defender,0.003005085529357374,3.9415818076696905,0.011844790453006467,2,2
defense,0.0023265178291799024,3.9415818076696905,0.009170160350714683,4,2
defiance,0.00016181229773462783,4.634728988229636,0.0007499561469627243,1,1
defuse,0.0008442380751371887,4.634728988229636,0.003912814679805518,2,1
dehumanisation,0.0005109862033725089,4.634728988229636,0.002368282569355971,1,1
deliberately,0.00088261253309797,4.634728988229636,0.0040906698925239505,1,1
demolish,0.00020226537216828477,4.634728988229636,0.0009374451837034052,1,1
demonstrate,0.00018318373328448433,4.634728988229636,0.0008490069588257255,1,1
denver,0.001186623516720604,3.9415818076696905,0.004677173666058963,4,2
deployment,0.00031318509238960227,4.634728988229636,0.0014515280263794664,1,1
deprivation,0.00014490653528474135,4.634728988229636,0.0006716025196681113,1,1
describe,0.0003280902685692256,3.9415818076696905,0.0012931946338659225,2,2
despite,0.002863443111872581,3.248434627109745,0.009301707757365775,4,4
detail,0.00042280947966643706,3.9415818076696905,0.0016665381531635161,3,2
detailed,0.00014710208884966168,4.634728988229636,0.0006817783154206585,1,1
detain,0.0010502240477968635,3.9415818076696905,0.004139544000773341,4,2
determine,0.00042211903756859433,4.634728988229636,0.001956407339902759,1,1
device,0.0008442380751371887,4.634728988229636,0.003912814679805518,2,1
die,0.004865926953305594,3.0252910757955354,0.014720845387308371,7,5
dig,0.0005109862033725089,4.634728988229636,0.002368282569355971,1,1
discharge,0.00013484358144552318,4.634728988229636,0.0006249634558022701,1,1
discover,0.00013299640909695436,4.634728988229636,0.000616402312572102,1,1
discussion,0.0006472491909385113,4.634728988229636,0.002999824587850897,1,1
disembark,0.00016181229773462783,4.634728988229636,0.0007499561469627243,1,1
dismissal,0.00088261253309797,4.634728988229636,0.0040906698925239505,1,1
disrupt,0.0005711022272986865,4.634728988229636,0.0026469040481037326,1,1
dissident,0.00013299640909695436,4.634728988229636,0.000616402312572102,1,1
district,0.003852673755586377,3.5361166995615263,0.01362350400509141,3,3
disturbing,0.00014490653528474135,4.634728988229636,0.0006716025196681113,1,1
dnipropetrovsk,0.008875967613831692,2.842969519001581,0.025234105377768695,7,6
dnr,0.0003734129947722181,4.634728988229636,0.0017306680314524408,1,1
doctor,0.00013484358144552318,4.634728988229636,0.0006249634558022701,1,1
document,0.0022359517505148576,3.9415818076696905,0.008813186742656562,3,2
dog,0.00031318509238960227,4.634728988229636,0.0014515280263794664,1,1
donetsk,0.0015870052277819268,3.9415818076696905,0.006255310934501936,2,2
dozen,0.0016799614815034578,3.248434627109745,0.00545724504872642,5,4
draa,0.0002157497303128371,4.634728988229636,0.0009999415292836324,1,1
driver,0.00018318373328448433,4.634728988229636,0.0008490069588257255,1,1
drone,0.04405479831299313,1.0793809267402221,0.0475519090304321,38,35
drop,0.00016181229773462783,4.634728988229636,0.0007499561469627243,1,1
drought,0.0019417475728155341,4.634728988229636,0.008999473763552692,1,1
dsem,0.0010787486515641855,4.634728988229636,0.004999707646418161,1,1
dukono,0.0009708737864077671,3.9415818076696905,0.0038267784540482433,5,2
early,0.0003135113268608414,3.9415818076696905,0.0012357305424530783,2,2
eby,0.00020226537216828477,4.634728988229636,0.0009374451837034052,1,1
electric,0.0012944983818770227,4.634728988229636,0.005999649175701794,2,1
electronic,0.00088261253309797,4.634728988229636,0.0040906698925239505,1,1
eliminate,0.00033478406427854036,4.634728988229636,0.0015516334075090848,1,1
email,0.0002842087793544104,3.9415818076696905,0.0011202321542833533,2,2
emblematic,0.0005109862033725089,4.634728988229636,0.002368282569355971,1,1
embolden,0.00012608750472828143,4.634728988229636,0.0005843814132177073,1,1
employee,0.0024723473880346645,3.5361166995615263,0.008742508885946697,3,3
employer,0.00088261253309797,4.634728988229636,0.0040906698925239505,1,1
employment,0.00088261253309797,4.634728988229636,0.0040906698925239505,1,1
enemy,0.007239173986746802,3.0252910757955354,0.021900608458236288,5,5
engine,0.00017979144192736425,4.634728988229636,0.0008332846077363603,1,1
enter,0.0003233638181965165,3.9415818076696905,0.0012745649430619987,2,2
err,0.0009708737864077671,4.634728988229636,0.004499736881776346,1,1
erupt,0.0004045307443365696,3.9415818076696905,0.0015944910225201014,2,2
eruption,0.0008090614886731392,3.9415818076696905,0.003188982045040203,4,2
escort,0.0006263701847792045,4.634728988229636,0.002903056052758933,2,1
estonia,0.0024271844660194173,3.9415818076696905,0.009566946135120607,2,2
evacuate,0.0029142077542991304,2.842969519001581,0.008285003817510475,10,6
evening,0.00028469543822316794,3.9415818076696905,0.001122150360026989,2,2
evidence,0.00014710208884966168,4.634728988229636,0.0006817783154206585,1,1
evika,0.00031318509238960227,4.634728988229636,0.0014515280263794664,1,1
exclusion,0.0008457702676510492,3.9415818076696905,0.0033336727004413006,2,2
exclusive,0.0003280902685692256,3.9415818076696905,0.0012931946338659225,2,2
exclusively,0.0006067961165048543,4.634728988229636,0.0028123355511102156,1,1
exercise,0.0004314994606256742,4.634728988229636,0.001999883058567265,2,1
exiled,0.00013299640909695436,4.634728988229636,0.000616402312572102,1,1
expedition,0.00020226537216828477,4.634728988229636,0.0009374451837034052,1,1
expense,0.0019417475728155341,4.634728988229636,0.008999473763552692,1,1
expert,0.0028317152103559872,3.5361166995615263,0.010013275443742187,3,3
explain,0.0006067961165048543,4.634728988229636,0.0028123355511102156,1,1
explosion,0.0014936519790888724,3.9415818076696905,0.0058873514677665285,2,2
explosive,0.0014153403024358753,3.9415818076696905,0.005578679587742964,3,2
expose,0.00031318509238960227,4.634728988229636,0.0014515280263794664,1,1
exposure,0.00014710208884966168,4.634728988229636,0.0006817783154206585,1,1
extinguish,0.0010219724067450178,4.634728988229636,0.004736565138711942,2,1
extract,0.00014490653528474135,4.634728988229636,0.0006716025196681113,1,1
face,0.00024271844660194176,4.634728988229636,0.0011249342204440866,1,1
facility,0.000515450464557887,3.9415818076696905,0.002031690173856258,2,2
fall,0.0006263701847792045,4.634728988229636,0.002903056052758933,2,1
family,0.001290645708121436,3.248434627109745,0.0041925782095922496,5,4
fatally,0.00017979144192736425,4.634728988229636,0.0008332846077363603,1,1
fate,0.0013869625520110955,4.634728988229636,0.006428195545394778,1,1
father,0.0005109862033725089,4.634728988229636,0.002368282569355971,1,1
fear,0.00026968716289104636,4.634728988229636,0.0012499269116045403,2,1
february,0.00020226537216828477,4.634728988229636,0.0009374451837034052,1,1
federal,0.00025217500945656286,4.634728988229636,0.0011687628264354145,2,1
federation,0.0016294385226424061,3.9415818076696905,0.006422565237563485,4,2
fence,0.0008270406328658756,3.9415818076696905,0.003259848312707763,2,2
feud,0.0007468259895444362,4.634728988229636,0.0034613360629048816,1,1
field,0.00017337031900138694,4.634728988229636,0.0008035244431743473,1,1
fight,0.0009058862915772268,3.9415818076696905,0.003570624926698158,2,2
fighter,0.002184466019417476,3.9415818076696905,0.008610251521608547,2,2
find,0.002220297856021542,2.842969519001581,0.006312239127773804,6,6
fire,0.006958098944866165,2.842969519001581,0.019781663210451567,12,6
fisherman,0.0005711022272986865,4.634728988229636,0.0026469040481037326,1,1
flight,0.0003807348181991243,4.634728988229636,0.0017646026987358217,2,1
